id,serial_number,tax_type,incentive _category,incentive _subcategory,incentive_items,qualification,incentive_method,incentive_name,detailed_rules,detailed_terms,keywords,legal_basis,special_notes,explanation,effective_date,expiry_date,applicable_region,policy_status,industry_scope,enterprise_type,discount_rate,application_process,required_documents,data_source,data_quality,last_verified_date,created_at,updated_at,tags
11,11,增值税,支持三农,农村建设,电力,,免征,电力增值税免征优惠,1、大型水电企业：装机容量超过100万千瓦的水力发电站（含抽水蓄能电站）销售自产电力产品，自2013年1月1日至2015年12月31日，对其增值税实际税负超过8%的部分实行即征即退政策；自2016年1月1日至2017年12月31日，对其增值税实际税负超过12%的部分实行即征即退政策。2、农村电网维护费：从1998年1月1日起，对农村电管站在收取电价时一并向用户收取的农村电网维护费（包括低压线路损耗和维护费以及电工经费）给予免征增值税的照顾。,,免税 优惠 电力 增值税 免征,1、《关于大型水电企业增值税政策的通知》（财税[2014]10号）；2、《财政部、国家税务总局关于免征农村电网维护费增值税问题的通知》（财税字[1998]47号）。,1、部分地区的农村电管站改制后，农村电网维护费原由农村电管站收取改为由电网公司或者农电公司等其他单位收取（以下称其他单位）。 鉴于部分地区农村电网维护费改由其他单位收取后，只是收费的主体发生了变化，收取方法、对象以及使用用途均未发生变化，为保持政策的一致性，对其他单位收取的农村电网维护费免征增值税，不得开具增值税专用发票。2、对供电企业收取的免征增值税的农村电网维护费，不应分摊转出外购电力产品所支付的进项税额。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
12,12,增值税,支持其他各项事业,其他,供热企业取得的采暖费收入,1、供暖期，是指当年下半年供暖开始至次年上半年供暖结束的期间。2、供热企业，是指热力产品生产企业和热力产品经营企业。热力产品生产企业包括专业供热企业、兼营供热企业和自供热单位。3、“三北”地区，是指北京市、天津市、河北省、山西省、内蒙古自治区、辽宁省、大连市、吉林省、黑龙江省、山东省、青岛市、河南省、陕西省、甘肃省、青海省、宁夏回族自治区和新疆维吾尔自治区。,免征,供热企业取得的采暖费收入增值税免征优惠,自2019年1月1日至2027年供暖期结束，对“三北”地区供热企业向居民个人供热取得的采暖费收入免征增值税。,,免税 优惠 供热企业取得的采暖费收入 增值税 免征,1、《关于延续供热企业增值税 房产税 城镇土地使用税优惠政策的通知》（财税〔2019〕38号）2、《关于延长部分税收优惠政策执行期限的公告》（财政部 税务总局公告2021年第6号）3、《关于延续实施供热企业有关税收政策的公告》（财政部 税务总局公告2023年第56号）,向居民供热取得的采暖费收入，包括供热企业直接向居民收取的、通过其他单位向居民收取的和由单位代居民缴纳的采暖费。免征增值税的采暖费收入，应当按照《中华人民共和国增值税暂行条例》第十六条的规定单独核算。通过热力产品经营企业向居民供热的热力产品生产企业，应当根据热力产品经营企业实际从居民取得的采暖费收入占该经营企业采暖费总收入的比例，计算免征的增值税。,1、所称供暖期，是指当年下半年供暖开始至次年上半年供暖结束的期间。  2、所称供热企业，是指热力产品生产企业和热力产品经营企业。热力产品生产企业包括专业供热企业、兼营供热企业和自供热单位 。3、所称“三北”地区，是指北京市、天津市、河北省、山西省、内蒙古自治区、辽宁省、大连市、吉林省、黑龙江省、山东省、青岛市、河南省、陕西省、甘肃省、青海省、宁夏回族自治区和新疆维吾尔自治区。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
13,13,增值税,支持三农,农村建设,支持农村饮水安全工程建设运营,1、所称饮水工程，是指为农村居民提供生活用水而建设的供水工程设施；2、所称饮水工程运营管理单位，是指负责饮水工程运营管理的自来水公司、供水公司、供水（总）站（厂、中心）、村集体、农民用水合作组织等单位。,免征,支持农村饮水安全工程建设运营增值税免征优惠,自2019年1月1日至2023年12月31日，对饮水工程运营管理单位向农村居民提供生活用水取得的自来水销售收入，免征增值税。,,免税 支持农村饮水安全工程建设运营 优惠 增值税 免征,1、《关于继续实行农村饮水安全工程税收优惠政策的公告》（财政部 税务总局公告2019年第67号）2、《关于延长部分税收优惠政策执行期限的公告》（财政部 税务总局公告2021年第6号）,对于既向城镇居民供水，又向农村居民供水的饮水工程运营管理单位，依据向农村居民供水收入占总供水收入的比例免征增值税，无法提供具体比例或所提供数据不实的，不得享受税收优惠政策。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
14,14,增值税,支持其他各项事业,其他,综合利用资源,,免征,综合利用资源增值税免征优惠,,,增值税 综合利用资源,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
15,15,增值税,节能环保,资源综合利用,再生水,1.产品原料100%来自1.产品原料100%来自污水处理厂出水、工业排水（矿井水）、生活污水、垃圾处理厂渗透（滤）液等； 2.产品符合《再生水水质标准》（SL368—2006）规定的技术要求。,即征即退,再生水增值税即征即退优惠,自2015年7月1日起，实行比例为50%的增值税即征即退政策。,,再生水 增值税,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,“再生水”，是指对污水处理厂出水、工业排水（矿井水）、生活污水、垃圾处理厂渗透（滤）液等水源进行回收，经适当处理后达到一定水质标准，并在一定范围内重复利用的水资源。 ,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
16,16,增值税,节能环保,资源综合利用,胶粉、翻新轮胎、再生橡胶,1.产品原料95%以上来自废旧轮胎、废橡胶制品； 2.胶粉符合（GB/T19208—2008）规定的技术要求；翻新轮胎符合（GB7037—2007）、（GB14646—2007）或（HG/T3979—2007）规定的技术要求；再生橡胶符合（GB/T13460—2008）规定的技术要求； 3.纳税人必须通过ISO9000、ISO14000认证。,即征即退,胶粉、翻新轮胎、再生橡胶增值税即征即退优惠,自2015年7月1日起，实行比例为50%的增值税即征即退政策。,,增值税 胶粉、翻新轮胎、再生橡胶,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
17,17,增值税,节能环保,资源综合利用,电力,产品原料95%以上来自煤炭开采过程中产生的煤层气（煤矿瓦斯）。,即征即退,电力增值税即征即退优惠,自2015年7月1日起，实行比例为100%的增值税即征即退政策。,,电力 增值税,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
18,18,增值税,节能环保,资源综合利用,乳化油调和剂、防水卷材辅料产品,产品原料70%以上来自油田采油过程中产生的油污泥（浮渣）。,即征即退,乳化油调和剂、防水卷材辅料产品增值税即征即退优惠,自2015年7月1日起，实行比例为70%的增值税即征即退政策。,,增值税 乳化油调和剂、防水卷材辅料产品,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
19,19,增值税,节能环保,资源综合利用,资源综合利用劳务,综合利用的资源为：垃圾处理、污泥处理处置劳务,即征即退,资源综合利用产品及劳务增值税即征即退,自2015年7月1日起，实行比例为70%的增值税即征即退政策。,第三条,资源综合利用劳务 增值税,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,“垃圾处理”，是指运用填埋、焚烧、综合处理和回收利用等形式，对垃圾进行减量化、资源化和无害化处理处置的业务。   “污泥处理处置”，是指对污水处理后产生的污泥进行稳定化、减量化和无害化处理处置的业务。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
20,20,增值税,节能环保,资源综合利用,资源综合利用劳务,1.综合利用的资源为：工业废气处理劳务； 2.经治理、处理后符合《大气污染物综合排放标准》（GB 16297-1996）规定的技术要求或达到相应的国家或地方水污染物排放标准中的直接排放限值。,即征即退,资源综合利用产品及劳务增值税即征即退,自2015年7月1日起，实行比例为70%的增值税即征即退政策。,第三条,资源综合利用劳务 增值税,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
21,21,增值税,节能环保,资源综合利用,资源综合利用劳务,1.综合利用的资源为：污水处理劳务； 2.污水经加工处理后符合《城镇污水处理厂污染物排放标准》（GB18918—2002）规定的技术要求或达到相应的国家或地方水污染物排放标准中的直接排放限值。,免征,资源综合利用产品及劳务增值税即征即退,1.自2015年7月1日起，实行比例为70%的增值税即征即退政策。 2.对各级政府及主管部门委托自来水厂（公司）随水费收取的污水处埋费，免征增值税。,第三条,免税 优惠 资源综合利用劳务 增值税 免征,1.《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）； 2.《财政部、国家税务总局关于污水处理费有关增值税政策的通知》（财税[2001]97号）。,,“污水处理”，是指将污水（包括城镇污水和工业废水）处理后达到《城镇污水处理厂污染物排放标准》（GB18918-2002），或达到相应的国家或地方水污染物排放标准中的直接排放限值的业务。其中，城镇污水是指城镇居民生活污水，机关、学校、医院、商业服务机构及各种公共设施排水，以及允许排入城镇污水收集系统的工业废水和初期雨水。工业废水是指工业生产过程中产生的，不允许排入城镇污水收集系统的废水和废液。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
22,22,增值税,节能环保,资源综合利用,高纯度二氧化碳、工业氢气、甲烷,1.产品原料95%以上来自工业废气； 2.高纯度二氧化碳产品符合（GB10621—2006），工业氢气产品符合（GB/T3634.1-2006），甲烷产品符合（HG/T 3633-1999）规定的技术要求。,即征即退,高纯度二氧化碳、工业氢气、甲烷增值税即征即退优惠,自2015年7月1日起，实行比例为70%的增值税即征即退政策。,,高纯度二氧化碳、工业氢气、甲烷 增值税,《关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》（财税[2015]78号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
