id,serial_number,tax_type,incentive _category,incentive _subcategory,incentive_items,qualification,incentive_method,incentive_name,detailed_rules,detailed_terms,keywords,legal_basis,special_notes,explanation,effective_date,expiry_date,applicable_region,policy_status,industry_scope,enterprise_type,discount_rate,application_process,required_documents,data_source,data_quality,last_verified_date,created_at,updated_at,tags
95,95,增值税,支持其他各项事业,其他,加工、修理、修配劳务,,免征,加工、修理、修配劳务增值税免征优惠,,,加工、修理、修配劳务 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
96,96,增值税,支持其他各项事业,其他,飞机维修劳务,,即征即退,飞机维修劳务增值税即征即退优惠,从2000年1月1日起，对飞机维修劳务，增值税实际税负超过6%的部分，实行由税务机关即征即退的政策。,,增值税 飞机维修劳务,《财政部、国家税务总局关于飞机维修增值税问题的通知》（财税[2000]102号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
97,97,增值税,支持其他各项事业,其他,铁路货车修理劳务,,免征,铁路货车修理劳务增值税免征优惠,从2001年1月1日起，对铁路系统内部单位为本系统修理货车的业务免征增值税。“铁路系统内部单位”包括中国南方、北方机车车辆工业集团公司所属企业，其为铁路系统修理铁路货车的业务免征增值税。,,免税 铁路货车修理劳务 优惠 增值税 免征,《财政部、国家税务总局关于铁路货车修理免征增值税的通知》（财税[2001]54号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
98,98,增值税,支持其他各项事业,其他,贵金属,,免征,贵金属增值税免征优惠,,,贵金属 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
99,99,增值税,支持其他各项事业,其他,铂金,,免征、即征即退,铂金增值税免征和即征即退优惠,1、对铂金及铂金制品的进出口税收政策如下：（1） 对进口铂金免征进口环节增值税；（2）对中博世金科贸有限责任公司通过上海黄金交易所销售的进口铂金，以上海黄金交易所开具的《上海黄金交易所发票》（结算联）为依据，实行增值税即征即退政策；（3）中博世金科贸有限责任公司通过上海黄金交易所销售的进口铂金，由上海黄金交易所主管税务机关按照实际成交价格代开增值税专用发票。2、国内铂金生产、加工和流通自2003年5月1日起，国内铂金生产企业自产自销的铂金也实行增值税即征即退政策。,,免税 优惠 铂金 增值税 免征,1、《财政部、国家税务总局关于铂金及其制品税收政策的通知》（财税[2003]86号）； 2、《关于以贵金属和宝石为主要原材料的货物出口退税政策的通知》（财税[2014]98号）;,对铂金制品加工企业和流通企业销售的铂金及其制品仍按现行规定征收增值税。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
100,100,增值税,支持三农,农村建设,黄金,,免征、即征即退,黄金增值税免征和即征即退优惠,1、黄金生产和经营单位销售黄金（不包括以下品种：成色为AU9999、AU9995、AU999、AU995；规格为50克、100克、1公斤、3公斤、12.5公斤的黄金，以下简称标准黄金）和黄金矿砂（含伴生金），免征增值税；进口黄金（含标准黄金）和黄金矿砂免征进口环节增值税。2、黄金交易所会员单位通过黄金交易所销售标准黄金（持有黄金交易所开具的《黄金交易结算凭证》），未发生实物交割的，免征增值税；发生实物交割的，由税务机关按照实际成交价格代开增值税专用发票，并实行增值税即征即退的政策，同时免征城市维护建设税、教育费附加。,,免税 优惠 黄金 增值税 免征,1、《财政部、国家税务总局关于黄金税收政策问题的通知》（财税[2002]142号）; 2、《关于以贵金属和宝石为主要原材料的货物出口退税政策的通知》（财税[2014]98号）; 3、《国家税务总局关于发布《出口货物劳务增值税和消费税管理办法》的公告》 （国家税务总局公告[2012]24号）；,纳税人不通过黄金交易所销售的标准黄金不享受增值税即征即退和免征城市维护建设税、教育费附加政策。,1、所称伴生金，是指黄金矿砂以外的其他矿产品、冶炼中间产品和其他可以提炼黄金的原料中所伴生的黄金。2、增值税专用发票中的单价、金额和税额的计算公式分别为：单价 = 实际成交单价 ÷（1 + 增值税税率）金额 = 数量 × 单价 税额 = 金额 × 税率实际成交单价是指不含黄金交易所收取的手续费的单位价格。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
101,101,增值税,支持其他各项事业,其他,熊猫普制金币,免征范围：（1）中国人民银行下属中国金币总公司（以下简称金币公司）及其控股子公司。（2）经中国银行业监督管理委员会批准，允许开办个人黄金买卖业务的金融机构。（3）经金币公司批准，获得“中国熊猫普制金币授权经销商”资格，并通过金币交易系统销售熊猫普制金币的纳税人。,免征,熊猫普制金币免征增值税优惠,自2012年1月1日起，对符合条件的纳税人销售的熊猫普制金币免征增值税。,,免税 优惠 熊猫普制金币 增值税 免征,1、《财政部、国家税务总局关于熊猫普制金币免征增值税政策的通知》（财税[2012]97号）；2、《国家税务总局关于发布＜熊猫普制金币免征增值税管理办法（试行）＞的公告》（国家税务总局公告2013年第6号）。,1、财税[2012]97号文到之日前，纳税人已缴纳的应予免征的增值税税款，可在今后增值税应纳税额中抵减，或者按规定办理退库。纳税人已向购买方开具了增值税专用发票的，应将增值税专用发票追回后方可申请免税；凡增值税专用发票未追回的，不予免税。 2、纳税人既销售免税的熊猫普制金币又销售其他增值税应税货物的，应分别核算免税的熊猫普制金币和其他增值税应税货物的销售额；未分别核算的，不得享受熊猫普制金币增值税免税政策。销售熊猫普制金币免税收入不得开具增值税专用发票。,熊猫普制金币是指由黄金制成并同时符合以下条件的法定货币：1、由中国人民银行发行；2、生产质量为普制； 3、正面主体图案为天坛祈年殿，并刊国名、年号。背面主体图案为熊猫，并刊面额、规格及成色。规格包括1盎司、1/2盎司、1/4盎司、1/10盎司和1/20盎司，对应面额分别为500元、200元、100元、50元、20元。黄金成色为99.9%。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
102,102,增值税,支持其他各项事业,其他,进口粗铜所含黄金,1、享受进口税收优惠政策的粗铜仅指归入税则号列74020000项下的锭状未精炼铜。 2、进口锭状未精炼铜的进口货物收货人，需在相关货物申报进口前先就作价情况向海关提交书面说明并提交以下有关单证，方能享受进口税收优惠政策：（1）分别列明锭状未精炼铜所含黄金及其他成分各自比例或含量的商检证书；（2） 单独列明锭状未精炼铜所含黄金成分价值的合同或发票；（3） 海关需要的其他相关证明文件。,免征,进口粗铜所含黄金增值税免征优惠,自2009年11月1日起，对进口粗铜中所含的黄金价值部分免征进口环节增值税，非黄金价值部分仍照章征收进口环节增值税。 ,,免税 优惠 进口粗铜所含黄金 增值税 免征,海关总署公告2009年第69号—对进口粗铜中所含的黄金价值部分免征进口环节增值税，非黄金价值部分仍照章征收进口环节增值税的公告,对于不能提供本海关总署公告2009年第69号第二条所列单证的，进口锭状未精炼铜按商品编码7402000090填报，并按进口总价征收进口环节增值税；暂时无法提供本公告第二条所列单证的，进口时可先按进口总价缴纳全额保证金后放行货物。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
103,103,增值税,支持金融资本市场,资本市场,金融资产管理,,免征,金融资产管理增值税免征优惠,,,增值税 金融资产管理,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
104,104,增值税,支持金融资本市场,资本市场,金融资产管理,享受税收优惠政策的主体为经国务院批准成立的中国信达资产管理公司、中国华融资产管理公司、中国长城资产管理公司和中国东方资产管理公司，及其经批准分设于各地的分支机构。,免征,金融资产管理增值税免征优惠,1.对资产公司接受相关国有银行的不良债权，借款方以货物、不动产、无形资产、有价证券和票据等抵充贷款本息的，免征资产公司销售转让该货物、不动产、无形资产、有价证券、票据以及利用该货物、不动产从事融资租赁业务应缴纳的增值税、营业税。2.对资产公司接受相关国有银行的不良债权，借款方以不动产抵充贷款本息的，免征资产公司销售转让该不动产和利用该不动产从事融资租赁业务应缴纳的增值税、营业税。,,免税 优惠 免征 增值税 金融资产管理,1.《财政部、国家税务总局关于中国信达等4家金融资产管理公司税收政策问题的通知》（财税[2001]10号）2.《财政部 国家税务总局关于中国信达资产管理股份有限公司等4家金融资产管理公司有关税收政策问题的通知》（财税[2013]56号）3.《国家税务总局关于金融资产管理公司从事经营租赁业务有关税收政策问题的批复》（国税函〔2009〕190号） 4.《财政部关于金融资产管理公司接受以物抵债资产过户税费问题的通知》（财金〔2001〕189号）,1.除另有规定者外，资产公司所属、附属企业，不享受资产公司的税收优惠政策。2.金融资产管理公司利用其接受的抵债资产从事经营租赁业务，不属于国办发〔1999〕66号和财税〔2001〕10号规定的免税范围，应当依法纳税。 3.以自有或第三方不动产抵充贷款本息的借款方在办理不动产过户手续时，应依法纳税。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
105,105,增值税,支持其他各项事业,其他,期货保税交割业务,,免征,期货保税交割业务增值税免征优惠,,,期货保税交割业务 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
106,106,增值税,支持其他各项事业,其他,期货保税交割业务,,免征,期货保税交割业务增值税免征优惠,自2010年12月1日起，上海期货交易所的会员和客户通过上海期货交易所交易的期货保税交割标的物，仍按保税货物暂免征收增值税。,,免税 优惠 期货保税交割业务 增值税 免征,《财政部、国家税务总局关于上海期货交易所开展期货保税交割业务有关增值税问题的通知》（财税[2010]108号）,1、期货保税交割的销售方，在向主管税务机关申报纳税时，应出具当期期货保税交割的书面说明及上海期货交易所交割单、保税仓单等资料。2、非保税货物发生的期货实物交割仍按《国家税务总局关于下发〈货物期货征收增值税具体办法〉的通知》（国税发[1994]244号）的规定执行。,期货保税交割是指以海关特殊监管区域或场所内处于保税监管状态的货物为期货实物交割标的物的期货实物交割。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
107,107,增值税,支持其他各项事业,其他,期货保税交割业务,对经国务院批准对外开放的,免征,期货保税交割业务增值税免征优惠,自2018年11月30日至2023年11月29日，暂免征收增值税,,免税 优惠 期货保税交割业务 增值税 免征,《财政部、国家税务总局关于支持货物期货市场对外开放增值税政策的公告》（财政部 税务总局公告2020年第12号）,,上述期货交易中实际交割的货物，如果发生进口或者出口的，统一按照现行货物进出口税收政策执行。非保税货物发生的期货实物交割仍按《国家税务总局关于下发＜货物期货征收增值税具体办法＞的通知》（国税发〔1994〕244号）的规定执行。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
108,108,增值税,享受税收协定待遇,其他,铁矿石期货保税交割业务,,免征,原油和铁矿石期货保税交割业务增值税政策,1.上海国际能源交易中心开展的铁矿石期货保税交割业务暂免征收增值税。2.大连商品交易所开展的铁矿石期货保税交割业务暂免征收增值税,,免税 优惠 铁矿石期货保税交割业务 增值税 免征,1.《财政部、国家税务总局关于原油和铁矿石期货保税交割业务增值税政策的通知》（财税(2015)35号）2.《国家税务总局关于大连商品交易所铁矿石期货保税交割业务增值税管理问题的公告》（国家税务总局公告2018年第19号）,,期货保税交割是指以海关特殊监管区域或场所内处于保税监管状态的货物为期货实物交割标的物的期货实物交割。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
109,109,增值税,享受税收协定待遇,其他,原油期货保税交割业务,,免征,原油和铁矿石期货保税交割业务增值税政策,上海国际能源交易中心开展的原油期货保税交割业务暂免征收增值税,,免税 优惠 增值税 原油期货保税交割业务 免征,《国家税务总局关于上海国际能源交易中心原油期货保税交割业务增值税管理问题的公告》（国家税务总局公告2017年第29号）,,期货保税交割是指以海关特殊监管区域或场所内处于保税监管状态的货物为期货实物交割标的物的期货实物交割。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
110,110,增值税,节能环保,环境保护,环境保护、节能节水项目,,免征,环境保护、节能节水项目增值税免征优惠,,,环境保护、节能节水项目 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
111,111,增值税,节能环保,东部发展,合同能源管理项目,1、节能服务公司实施合同能源管理项目相关技术应符合国家质量监督检验检疫总局和国家标准化管理委员会发布的《合同能源管理技术通则》（GB/T24915–2010）规定的技术要求；2、节能服务公司与用能企业签订《节能效益分享型》合同，其合同格式和内容，符合《合同法》和国家质量监督检验检疫总局和国家标准化管理委员会发布的《合同能源管理技术通则》（GB/T24915–2010）等规定。,免征,合同能源管理项目增值税免征优惠,1、对节能服务公司无偿转让给用能单位的因实施合同能源管理项目形成的资产，免征增值税。2、节能服务公司实施符合条件的合同能源管理项目，将项目中的增值税应税货物转让给用能企业，暂免征收增值税。,,免税 优惠 合同能源管理项目 增值税 免征,1、《国务院办公厅转发发展改革委等部门关于加快推行合同能源管理促进节能服务产业发展意见的通知》（国办发[2010]25号）；2、《财政部、国家税务总局关于促进节能服务产业发展增值税、营业税和企业所得税政策问题的通知》（财税[2010]110号）。,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
112,112,增值税,支持其他各项事业,其他,销售自产的利用风力生产的电力产品,,即征即退,销售自产的利用风力生产的电力产品增值税即征即退优惠,对纳税人销售自产的利用风力生产的电力产品，实行增值税即征即退50%的政策。,,销售自产的利用风力生产的电力产品 增值税,《关于风力发电增值税政策的通知》（财税〔2015〕74号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
113,113,增值税,促进小微企业发展,东部发展,小微企业,,免征,小微企业增值税免征优惠,,,小微企业 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
114,114,增值税,支持其他各项事业,其他,个体工商户和个人销售额未超增值税起征点,个体工商户和个人按月纳税的，未达到每月销售额5000～20000 元或按次纳税的，每次（日）销售额300～500 元起征点。,免征,个体工商户和个人销售额未超增值税起征点免征优惠,免征增值税。,,免税 优惠 个体工商户和个人销售额未超增值税起征点 增值税 免征,1.《中华人民共和国增值税暂行条例》（中华人民共和国国务院令第538 号）；2.《中华人民共和国增值税暂行条例实施细则》（中华人民共和国财政部令第65 号）；3.《财政部国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36 号）。,省、自治区、直辖市财政厅（局）和国家税务局应在规定的幅度内，根据实际情况确定本地区适用的起征点。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
115,115,增值税,节能环保,资源综合利用,个人（不含个体工商户）销售自己使用过的废旧物品,,免征,个人（不含个体工商户）销售自己使用过的废旧物品增值税免征优惠,个人（不含个体工商户）销售自己使用过的废旧物品免征增值税。,,免税 优惠 个人（不含个体工商户）销售自己使用过的废旧物品 增值税 免征,《财政部、国家税务总局关于再生资源增值税政策的通知》（财税[2008]157号）,单位和个人销售再生资源，应当依照《中华人民共和国增值税暂行条例》（以下简称增值税条例）、《中华人民共和国增值税暂行条例实施细则》及财政部、国家税务总局的相关规定缴纳增值税。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
116,116,增值税,节能环保,环境保护,污水处理,,免征,污水处理增值税免征优惠,对各级政府及主管部门委托自来水厂(公司)随水费收取的污水处理费，免征增值税。,,免税 污水处理 优惠 增值税 免征,《财政部、国家税务总局关于污水处理费有关增值税政策的通知》（财税[2001]97号）,污水处理费需要与自2018年1月1日起被环保税“费改税”后停止征收的“排污费”区别,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
117,117,增值税,促进小微企业发展,东部发展,销售额未超限,,免征,销售额未超限增值税免征优惠,"1、自2021年4月1日至2022年12月31日,对月销售额15万元以下（含本数）的增值税小规模纳税人，免征增值税。2、自2021年4月1日起，小规模纳税人发生增值税应税销售行为，合计月销售额未超过15万元（以1个季度为1个纳税期的，季度销售额未超过45万元，下同）的，免征增值税。3、自2023年1月1日至2023年12月31日,对月销售额10万元以下（含本数）的增值税小规模纳税人，免征增值税。4、自2023年8月1日至2027年12月31日,对月销售额10万元以下（含本数）的增值税小规模纳税人，免征增值税。",,免税 优惠 销售额未超限 增值税 免征,1、《关于明确增值税小规模纳税人免征增值税政策的公告》（财政部 税务总局公告2021年第11号）2、《国家税务总局关于小规模纳税人免征增值税征管问题的公告》（国家税务总局公告2021年第5号）3、《关于明确增值税小规模纳税人减免增值税等政策的公告》（财政部 税务总局公告2023年第1号）4、《关于增值税小规模纳税人减免增值税政策的公告》（财政部 税务总局公告2023年第19号z）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
118,118,增值税,促进小微企业发展,东部发展,差额征收销售额未超限,适用增值税差额征税政策的小规模纳税人，以差额后的销售额确定,免征,差额征收销售额未超限增值税免征优惠,小规模纳税人发生增值税应税销售行为，合计月销售额未超过15万元（以1个季度为1个纳税期的，季度销售额未超过45万元，下同）的，免征增值税。,,免税 优惠 差额征收销售额未超限 增值税 免征,《国家税务总局关于小规模纳税人免征增值税征管问题的公告》（国家税务总局公告2021年第5号）,小规模纳税人发生增值税应税销售行为，合计月销售额超过15万元，但扣除本期发生的销售不动产的销售额后未超过15万元的，其销售货物、劳务、服务、无形资产取得的销售额免征增值税。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
119,119,增值税,促进小微企业发展,东部发展,一次性收取租金的形式出租不动产,1.《中华人民共和国增值税暂行条例实施细则》第九条所称的其他个人，采取一次性收取租金形式出租不动产2、取得的租金收入，可在对应的租赁期内平均分摊，分摊后的月租金收入未超过15万元,免征,一次性收取租金的形式出租不动产增值税免征优惠,免征增值税,,免税 优惠 一次性收取租金的形式出租不动产 增值税 免征,1.《国家税务总局关于营改增试点若干征管问题的公告》（国家税务总局公告2016年第53号）；2.《国家税务总局关于全面推开营业税改征增值税试点有关税收征收管理事项的公告》（国家税务总局公告2016年第23号）3.《国家税务总局关于小规模纳税人免征增值税征管问题的公告》（国家税务总局公告2021年第5号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
120,120,增值税,支持其他各项事业,其他,中国联通资产整合,,免征,中国联通资产整合增值税免征优惠,,,增值税 中国联通资产整合,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
121,121,增值税,支持其他各项事业,其他,中国联通资产整合,,免征,中国联通资产整合增值税免征优惠,1、对中国联合网络通信集团有限公司（原中国联合通信有限公司）、联通新时空通信有限公司（原联通新时空移动通信有限公司）、中国联合网络通信有限公司（原中国联通有限公司）在转让CDMA资产和业务过程中应缴纳的增值税，予以免征。2、对中国联合网络通信集团有限公司向中国联合网络通信有限公司转让原网通南方21省固网业务、北方一级干线资产，原联通天津、四川、重庆三地固网业务及天津固网资产，向联通新时空通信有限公司（原联通新时空移动通信有限公司）注入原网通南方21省固网资产及原联通四川、重庆固网资产过程中应缴纳的增值税，予以免征。,,免税 优惠 中国联通资产整合 增值税 免征,《财政部、国家税务总局关于中国联合网络通信集团有限公司转让CDMA网及其用户资产企业合并资产整合过程中涉及的增值税、营业税、印花税和土地增值税政策问题的通知》（财税[2011]13号）,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
122,122,增值税,鼓励高新技术,高新技术,增值税税控系统专用设备和技术维护费用,,免征,增值税税控系统专用设备和技术维护费用免征优惠,,,增值税税控系统专用设备和技术维护费用 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
123,123,增值税,鼓励高新技术,高新技术,增值税税控系统专用设备和技术维护费用,,免征,增值税税控系统专用设备和技术维护费用免征优惠,自2011年12月1日起，增值税纳税人购买增值税税控系统专用设备支付的费用以及缴纳的技术维护费（以下称二项费用）可在增值税应纳税额中全额抵减。1、增值税纳税人2011年12月1日（含，下同）以后初次购买增值税税控系统专用设备（包括分开票机）支付的费用，可凭购买增值税税控系统专用设备取得的增值税专用发票，在增值税应纳税额中全额抵减（抵减额为价税合计额），不足抵减的可结转下期继续抵减。2、增值税纳税人2011年12月1日以后缴纳的技术维护费（不含补缴的2011年11月30日以前的技术维护费），可凭技术维护服务单位开具的技术维护费发票，在增值税应纳税额中全额抵减，不足抵减的可结转下期继续抵减。技术维护费按照价格主管部门核定的标准执行。3、增值税一般纳税人支付的二项费用在增值税应纳税额中全额抵减的，其增值税专用发票不作为增值税抵扣凭证，其进项税额不得从销项税额中抵扣。4、纳税人购买的增值税税控系统专用设备自购买之日起3年内因质量问题无法正常使用的，由专用设备供应商负责免费维修，无法维修的免费更换。,,增值税税控系统专用设备和技术维护费用 免税 优惠 增值税 免征,1.《关于增值税税控系统专用设备和技术维护费用抵减增值税税额有关政策的通知》（财税[2012]15号）；2.《国家税务总局关于停止发售金税卡IC卡等税控专用设备有关问题的公告》（国家税务总局公告2014年第44号）,增值税税控系统包括： （1） 增值税防伪税控系统； 增值税防伪税控系统的专用设备包括金税盘、报税盘 （2） 货物运输业增值税专用发票税控系统； 货物运输业增值税专用发票税控系统专用设备包括税控盘和报税盘。 （3） 机动车销售统一发票税控系统和公路； 机动车销售统一发票税控系统和公路专用设备包括税控盘和传输盘。 （4） 内河货物运输业发票税控系统。 内河货物运输业发票税控系统专用设备包括税控盘和传输盘。 ,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
124,124,增值税,支持其他各项事业,其他,即征即退项目,,即征即退,即征即退项目增值税即征即退优惠,,,即征即退项目 增值税,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
125,125,增值税,支持其他各项事业,其他,管道运输服务,,即征即退,管道运输服务增值税即征即退,一般纳税人提供管道运输服务，对其增值税实际税负超过3%的部分实行增值税即征即退政策。,附件3第二条第（一）款,增值税 管道运输服务,《财政部、国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号）,,所称增值税实际税负，是指纳税人当期提供应税服务实际缴纳的增值税额占纳税人当期提供应税服务取得的全部价款和价外费用的比例。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
126,126,增值税,支持金融资本市场,金融市场,有形动产融资租赁服务,,即征即退,有形动产融资租赁服务增值税即征即退优惠,经人民银行、银监会或者商务部批准从事融资租赁业务的试点纳税人（包括经上述部门备案从事融资租赁业务的试点纳税人）中的一般纳税人，提供有形动产融资租赁服务和有形动产融资性售后回租服务，对其增值税实际税负超过3%的部分实行增值税即征即退政策。,,有形动产融资租赁服务 增值税,《财政部、国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号）《国家税务总局纳税服务司关于下发营改增热点问题答复口径和营改增培训参考材料的函》（税总纳便函（2016）71号）,实际税负超过3%的部分实行增值税即征即退，针对的也是有形动产的售后回租，不动产的售后回租不适用这一条。,商务部授权的省级商务主管部门和国家经济技术开发区批准的从事融资租赁业务和融资性售后回租业务的试点纳税人中的一般纳税人，2016年5月1日后实收资本达到1.7亿元的，从达到标准的当月起按照上述规定执行；2016年5月1日后实收资本未达到1.7亿元但注册资本达到1.7亿元的，在2016年7月31日前仍可按照上述规定执行，2016年8月1日后开展的有形动产融资租赁业务和有形动产融资性售后回租业务不得按照上述规定执行。所称增值税实际税负，是指纳税人当期提供应税服务实际缴纳的增值税额占纳税人当期提供应税服务取得的全部价款和价外费用的比例。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
127,127,增值税,改善民生,教育,安置残疾人,（一）纳税人（除盲人按摩机构外）月安置的残疾人占在职职工人数的比例不低于25%（含25%），并且安置的残疾人人数不少于10人（含10人）；盲人按摩机构月安置的残疾人占在职职工人数的比例不低于25%（含25%），并且安置的残疾人人数不少于5人（含5人）。（二）依法与安置的每位残疾人签订了一年以上（含一年）的劳动合同或服务协议。（三）为安置的每位残疾人按月足额缴纳了基本养老保险、基本医疗保险、失业保险、工伤保险和生育保险等社会保险。（四）通过银行等金融机构向安置的每位残疾人，按月支付了不低于纳税人所在区县适用的经省人民政府批准的月最低工资标准的工资。纳税人中纳税信用等级为税务机关评定的C级或D级的，不得享受本通知第一条、第三条规定的政策。纳税人应当分别核算上述享受税收优惠政策和不得享受税收优惠政策业务的销售额，不能分别核算的，不得享受本通知规定的优惠政策。,即征即退,安置残疾人增值税即征即退优惠,对安置残疾人的单位和个体工商户（以下称纳税人），实行由税务机关按纳税人安置残疾人的人数，限额即征即退增值税的办法。安置的每位残疾人每月可退还的增值税具体限额，由县级以上税务机关根据纳税人所在区县（含县级市、旗，下同）适用的经省（含自治区、直辖市、计划单列市，下同）人民政府批准的月最低工资标准的4倍确定。,,安置残疾人 增值税,《关于促进残疾人就业增值税优惠政策的通知》（财税[2016]年52号）,《财政部 国家税务总局关于教育税收政策的通知》（财税〔2004〕39号）第一条第7项规定的特殊教育学校举办的企业，只要符合本通知第二条第（一）项第一款规定的条件，即可享受本通知第一条规定的增值税优惠政策。这类企业在计算残疾人人数时可将在企业上岗工作的特殊教育学校的全日制在校学生计算在内，在计算企业在职职工人数时也要将上述学生计算在内。纳税人按照纳税期限向主管国税机关申请退还增值税。本纳税期已交增值税额不足退还的，可在本纳税年度内以前纳税期已交增值税扣除已退增值税的余额中退还，仍不足退还的可结转本纳税年度内以后纳税期退还，但不得结转以后年度退还。纳税期限不为按月的，只能对其符合条件的月份退还增值税。 ,此项增值税优惠政策仅适用于生产销售货物，提供加工、修理修配劳务，以及提供营改增现代服务和生活服务税目（不含文化体育服务和娱乐服务）范围的服务取得的收入之和，占其增值税收入的比例达到50%的纳税人，但不适用于上述纳税人直接销售外购货物（包括商品批发和零售）以及销售委托加工的货物取得的收入,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
128,128,增值税,鼓励高新技术,高新技术,创新企业境内发行存托凭证,,免征,创新企业境内发行存托凭证增值税免征优惠,,,增值税 创新企业境内发行存托凭证,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
129,129,增值税,鼓励高新技术,高新技术,个人投资者转让创新企业CDR,,免征,个人投资者转让创新企业CDR增值税免征优惠,对个人投资者转让创新企业CDR取得的差价收入，暂免征收增值税。,,个人投资者转让创新企业CDR 免税 优惠 增值税 免征,《关于创新企业境内发行存托凭证试点阶段有关税收政策的公告》（财政部 税务总局 证监会公告2019年第52号）,,1、所称创新企业CDR，是指符合《国务院办公厅转发证监会关于开展创新企业境内发行股票或存托凭证试点若干意见的通知》（国办发〔2018〕21号）规定的试点企业，以境外股票为基础证券，由存托人签发并在中国境内发行，代表境外基础证券权益的证券。2、所称试点开始之日，是指首只创新企业CDR取得国务院证券监督管理机构的发行批文之日。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
130,130,增值税,鼓励高新技术,高新技术,单位投资者转让创新企业CDR,,免征,单位投资者转让创新企业CDR增值税免征优惠,对单位投资者转让创新企业CDR取得的差价收入，按金融商品转让政策规定征免增值税。,,免税 优惠 增值税 单位投资者转让创新企业CDR 免征,《关于创新企业境内发行存托凭证试点阶段有关税收政策的公告》（财政部 税务总局 证监会公告2019年第52号）,,1、所称创新企业CDR，是指符合《国务院办公厅转发证监会关于开展创新企业境内发行股票或存托凭证试点若干意见的通知》（国办发〔2018〕21号）规定的试点企业，以境外股票为基础证券，由存托人签发并在中国境内发行，代表境外基础证券权益的证券。2、所称试点开始之日，是指首只创新企业CDR取得国务院证券监督管理机构的发行批文之日。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
